dataset,policy,acc@10,mrr,update_rate,churn
nyc,static,0.4949530395293632,0.2872052499398118,0.0,0.0
nyc,always,0.6532562699969037,0.3805990183599022,1.0,0.0649526885740131
nyc,periodic-2,0.6214676437196821,0.35963125422875825,0.5420792079207921,0.04023980292362707
nyc,periodic-3,0.6048921457322737,0.3483696943187337,0.34848879624804585,0.02555780368280394
nyc,periodic-4,0.5865414387449686,0.3398653029863916,0.2768368942157374,0.02065919722169738
nyc,periodic-6,0.5685210031995046,0.32747250604926476,0.21391349661281917,0.014345033278856851
nyc,CALMnov@0.1,0.6529879244504077,0.3786052420762092,0.848097967691506,0.06552205164337614
nyc,CALMnov@0.2,0.6518113324388481,0.37683245768808815,0.8169619593538301,0.06348129960262407
nyc,CALMnov@0.3,0.6487150376715863,0.3739037396360333,0.7816571130797291,0.06235517347649793
nyc,CALMnov@0.45,0.6418619052533802,0.36866687308633994,0.7167795726941115,0.06032184644317085
nyc,CALMnov@0.6,0.6286304056146145,0.35943136300864037,0.6126889004689943,0.053757183628507926
nyc,CALMnov@0.8,0.6074311074414285,0.34651545608097106,0.5119854090672226,0.04308199170331592
nyc,CALMerr@0.2,0.5603467850139333,0.32391926206615335,0.2004950495049505,0.018152852711676364
nyc,CALMerr@0.35,0.5824543296521829,0.3339091212912303,0.29338196977592496,0.028932638307638647
nyc,CALMerr@0.5,0.6058210341624523,0.3447741015421134,0.3863991662324127,0.04068175961558379
nyc,CALMerr@0.65,0.6314583548353804,0.3601545771919648,0.5407764460656592,0.05033925070689856
nyc,CALMerr@0.8,0.6476622974507174,0.37189458017357957,0.7006253256904638,0.06094633456765899
tky,static,0.45689826317657606,0.2653928161527612,0.0,0.0
tky,always,0.5688262153853558,0.3362878601885422,1.0,0.06579340534403837
tky,periodic-2,0.5441124272814232,0.31897347882917293,0.5337389927772831,0.039806376573064656
tky,periodic-3,0.5358704872370249,0.31343140439846817,0.3334817453250223,0.02427671455615542
tky,periodic-4,0.5247228121258791,0.30604218906916786,0.2684772929652716,0.019456879559871455
tky,periodic-6,0.5085216847247372,0.29612734098165805,0.20302760463045413,0.01354612995357466
tky,CALMnov@0.1,0.5685795587854869,0.33504071409516556,0.891312951419808,0.06514639010653749
tky,CALMnov@0.2,0.5677132526786305,0.3341761340115539,0.863658850301771,0.06419666956387914
tky,CALMnov@0.3,0.5661791689477389,0.33241612505819473,0.829128326902147,0.06260232227311158
tky,CALMnov@0.45,0.5609452362188145,0.3275649755840102,0.7602651627584842,0.059010503759763654
tky,CALMnov@0.6,0.5536056983690585,0.3213467440803188,0.6541011180370041,0.0530924649978074
tky,CALMnov@0.8,0.5386739500550465,0.31105925163256426,0.5198377362224201,0.0425664739053638
tky,CALMerr@0.2,0.5052128766777161,0.2914067557361107,0.2038686059166914,0.019080004694168415
tky,CALMerr@0.35,0.5239106501507012,0.30191311891297773,0.3424854061541506,0.03217042582233858
tky,CALMerr@0.5,0.5427227279016743,0.31269405347506635,0.4804096170970614,0.044903723054775496
tky,CALMerr@0.65,0.5591043357417446,0.32546228536550337,0.6613733056297616,0.05600832059880227
tky,CALMerr@0.8,0.5668168664986193,0.3325853588919955,0.8158701889779361,0.06260391459937285
gowalla_ca,static,0.14158669725748138,0.07710955360884975,0.0,0.0
gowalla_ca,always,0.2810850741921965,0.16413467974860615,1.0,0.08016572521437682
gowalla_ca,periodic-2,0.24918491579238972,0.14440733058837263,0.5334434765194753,0.048039183993680144
gowalla_ca,periodic-3,0.23233629060326885,0.13379124001376505,0.3375388004405727,0.03134056817507204
gowalla_ca,periodic-4,0.2196287904079328,0.12598542685698783,0.27030139180935214,0.023915035771316307
gowalla_ca,periodic-6,0.2018283457519729,0.11557381623796543,0.2086212075698408,0.016946718631911235
gowalla_ca,CALMnov@0.1,0.2810495585404488,0.16390295139576236,0.9574947431661159,0.08004682963920992
gowalla_ca,CALMnov@0.2,0.2809572178459047,0.1636540402323589,0.9520376489436267,0.07990163458197848
gowalla_ca,CALMnov@0.3,0.28074412393541837,0.16342194262948487,0.9444277560829077,0.07930037110259838
gowalla_ca,CALMnov@0.45,0.27984912951137564,0.16258722897752775,0.9226494442775608,0.07821973212802205
gowalla_ca,CALMnov@0.6,0.2767024427665272,0.16015059594700182,0.8780915189746671,0.07524343365115445
gowalla_ca,CALMnov@0.8,0.2704729974499762,0.15604857481327342,0.8098027435666366,0.06803620599714913
gowalla_ca,CALMerr@0.2,0.2513939893310982,0.14361431964019497,0.5584760188244718,0.04581255360010138
gowalla_ca,CALMerr@0.35,0.2663602849775896,0.15226527001084783,0.6952538299789727,0.05988358885981713
gowalla_ca,CALMerr@0.5,0.275175269741375,0.15832966338265714,0.7772103734855312,0.06918856899127443
gowalla_ca,CALMerr@0.65,0.27869842239474935,0.1616979226951704,0.8855011514969461,0.07735918272931308
gowalla_ca,CALMerr@0.8,0.2806730926319229,0.16334748378372552,0.942825673375388,0.07980361211336999
